specobjid,ra,dec,programname,survey,objtype,class,subclass,plate,mjd,fiberid,spec_dr,spec_url,ps1_sep,nearest_psid,psid_count,mos_sep,nearest_mos_catalogid
4.296538861444815e+18,134.30755,1.5498335,boss,boss,LRG,GALAXY,,3816,55272,381,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0381.fits,0.34639873098634416,109861343075600309,1,40.73295965470521,27021598102747399
1.7076563899611632e+19,134.31759,1.5549111,eFEDS2,bhm-mwm,QSO,GALAXY,,15167,59252,145,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15167p/59252/spec-15167-59252-06748037802.fits,0.038498608826567894,109861343174896266,1,36.9604670160821,27021600066863206
1.7076532838408147e+19,134.56537,1.5499889,eFEDS2,bhm-mwm,QSO,GALAXY,,15167,59252,32,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15167p/59252/spec-15167-59252-06748058462.fits,0.1027245323602652,109861345653280398,1,62.83101270986036,27021598102749342
1.705634388042451e+19,133.87093,1.5634882,eFEDS1,bhm-mwm,QSO,GALAXY,,15149,59231,313,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15149p/59231/spec-15149-59231-06747976608.fits,0.018720000000595854,109871338709576592,1,53.23993580110563,27021600107266778
5.270888640036475e+17,134.22864,1.5660644,legacy,sdss,STAR_RED_DWARF,STAR,M7,468,51912,610,17,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/0468/spec-0468-51912-0610.fits,1.2418434144576957,109871342284749348,1,1.2768690118785355,27021598102747376
1.7056300999471026e+19,134.26796,1.564989,eFEDS1,bhm-mwm,QSO,GALAXY,,15149,59231,157,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15149p/59231/spec-15149-59231-06748037657.fits,0.06477582900180891,109871342680648431,1,50.8600124685207,27021600086968514
5.2816803468308685e+17,134.30444,1.5606621,legacy,sdss,QA,GALAXY,,469,51913,440,17,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/0469/spec-0469-51913-0440.fits,0.06021261442174718,109871343044343223,1,0.17693966258073113,27021598102747399
4.296518245601794e+18,134.6004,1.5621433,boss,boss,QSO,QSO,,3816,55272,306,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0306.fits,0.14430665091309794,109871346004664880,1,0.010961442353731182,27021600107269884
4.296508075119237e+18,134.72633,1.5650103,boss,boss,QSO,QSO,,3816,55272,269,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0269.fits,0.03342955856087429,109871347263778472,1,71.59564627379704,27021598102749485
1.7076607880076743e+19,133.87053,1.568524,eFEDS2,bhm-mwm,QSO,GALAXY,,15167,59252,305,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15167p/59252/spec-15167-59252-06747976609.fits,0.01938559152039878,109881338705502658,1,62.20623314406994,27021598102741476
